"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"1";"";"LED-FKIT-1206";"FKIT-LED-1206";"PWR";"LEDs";"";"";"";"";
"1";"";"LED5MM";"LED5MM";"LED1";"LED";"";"";"";"";
"1";"";"M05PTH";"1X05";"JP1";"Header 5";"";"";"";"";
"1";"";"MA04-1";"MA04-1";"ROT_ENC";"PIN HEADER";"";"";"unknown";"unknown";
"2";"";"MOSFET-NREFLOW";"SOT23";"Q1, Q3";"N-Channel Mosfet";"";"";"";"";
"1";"";"TRIM_EU-B64Y";"B64Y";"R1";"POTENTIOMETER";"";"";"";"";
"1";"0R-JUMPB";"0R-JUMPB";"B0R-JMP";"JMP1";"SMD 0R 0805 Jumper";"";"";"";"";
"2";"100n";"C-EUC0603K";"C0603K";"C6, C7";"CAPACITOR, European symbol";"";"";"";"";
"1";"100u";"CPOL-EUE2.5-7";"E2,5-7";"C4";"POLARIZED CAPACITOR, European symbol";"";"";"";"";
"3";"10k";"R-EU_R0603";"R0603";"R7, R11, R16";"RESISTOR, European symbol";"";"";"";"";
"1";"10u";"C-EU025-030X050";"C025-030X050";"C10";"CAPACITOR, European symbol";"";"";"";"";
"1";"120";"R-EU_R0603";"R0603";"R21";"RESISTOR, European symbol";"";"";"";"";
"3";"150";"R-EU_R0603";"R0603";"R2, R3, R4";"RESISTOR, European symbol";"";"";"";"";
"1";"1N4004";"1N4004";"DO41-10";"D1";"DIODE";"";"";"";"";
"4";"1u";"C-EUC0603K";"C0603K";"C1, C2, C3, C9";"CAPACITOR, European symbol";"";"";"";"";
"3";"33n";"C-EUC0603K";"C0603K";"C11, C12, C13";"CAPACITOR, European symbol";"";"";"";"";
"1";"470u";"CPOL-EUE3.5-8";"E3,5-8";"C5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";
"1";"AMS1117";"LD117AS33TR";"SOT223";"IC5";"Low drop fixed and adjustable positive voltage regulators 1 A";"";"";"";"";
"1";"DSPIC33EP512GP502-I/SP";"DSPIC33EP512GP502-I/SP";"DIL28-3";"IC1";"16-Bit Microcontrollers and Digital Signal Controllers";"";"";"";"";
"1";"EASTRISING_12864-2";"EASTRISING_12864-2";"1X20";"G12864";"2.9"128x64 Graphic LCD Display Module KS0108 Black on White.";"";"";"";"";
"1";"F/QMX";"F/QMX";"F/QMX";"BUZZ";"BUZZER Source: Buerklin";"";"";"unknown";"unknown";
"1";"GENERIC_16X02_LCD";"GENERIC_16X02_LCD";"1X16";"C1602";"";"";"";"";"";
"1";"MCP2562";"MCP2562-E/P";"DIL8";"IC3";"High-Speed CAN Transceiver";"";"";"";"";
"1";"MINI_DC_DC_CONVSMD";"MINI_DC_DC_CONVSMD";"DSN-MINI-360-SMD";"U$1";"RC Airplane Module Mini 360 DC Buck Converter Step Down Module 4.75V-23V to 1V-17V 17x11x3.8mm New LM2596;";"";"";"";"";
"1";"ROTARTY_ENCODER";"ROTARTY_ENCODER";"ROTARY_ENC_PLAIN";"SW1";"Simple no LED rotary encoder";"";"";"";"";
"1";"WITSCHI_ERM25664AAG-1";"WITSCHI_ERM25664AAG-1";"1X20";"GLCD_ERM";"EastRising 256x64 pixel graphic LCD module";"";"";"";"";
"2";"XY301V-A";"XY301V-A";"XY301V-A";"CN1, CN2";"3 Pin Screw Terminal Block Connector 5mm Pitch 5.08-301-3P 301-3P 3pin";"";"";"";"";
