"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"VALUE";
"1";"";"DIODESMA";"SMADIODE";"D1";"Diode";"";"";"";"";"";"";
"2";"";"LED-FKIT-1206";"FKIT-LED-1206";"3.3V_PWR, LED";"LEDs";"";"";"";"";"";"";
"5";"";"M01PTH_LONGPAD";"1X01_LONGPAD";"COM, NC, NO, OD1, OD2";"Header 1";"";"";"";"";"";"";
"1";"";"M05PTH";"1X05";"JP1";"Header 5";"";"";"";"";"";"";
"1";"";"MOSFET-NREFLOW";"SOT23";"Q1";"N-Channel Mosfet";"";"";"";"";"";"";
"1";"1000u";"CPOL-EUE3.5-8";"E3,5-8";"C5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";
"1";"100k";"R-EU_R0603";"R0603";"R18";"RESISTOR, European symbol";"";"";"";"";"";"";
"2";"100n";"C-EUC0603K";"C0603K";"C4, C7";"CAPACITOR, European symbol";"";"";"";"";"";"";
"1";"100u";"CPOL-EUE2.5-7";"E2,5-7";"C3";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";
"1";"10k";"R-EU_R0603";"R0603";"R11";"RESISTOR, European symbol";"";"";"";"";"";"";
"1";"10u";"C-EUC3225";"C3225";"C6";"CAPACITOR, European symbol";"";"";"";"";"";"";
"2";"120";"R-EU_R0603";"R0603";"R9, R21";"RESISTOR, European symbol";"";"";"";"";"";"";
"2";"150";"R-EU_R0603";"R0603";"R1, R4";"RESISTOR, European symbol";"";"";"";"";"";"";
"8";"1k";"R-EU_R0603";"R0603";"R3, R7, R8, R10, R12, R13, R14, R17";"RESISTOR, European symbol";"";"";"";"";"";"";
"1";"1k5";"R-EU_R0603";"R0603";"R6";"RESISTOR, European symbol";"";"";"";"";"";"";
"1";"1u";"C-EUC0603";"C0603";"C9";"CAPACITOR, European symbol";"";"";"";"";"";"";
"2";"1u";"C-EUC0603K";"C0603K";"C1, C2";"CAPACITOR, European symbol";"";"";"";"";"";"";
"1";"200k";"R-EU_R0603";"R0603";"R19";"RESISTOR, European symbol";"";"";"";"";"";"";
"2";"22k";"R-EU_R0603";"R0603";"R2, R5";"RESISTOR, European symbol";"";"";"";"";"";"";
"1";"2n7002";"MOSFET-NREFLOW";"SOT23";"Q3";"N-Channel Mosfet";"";"";"";"";"";"";
"1";"AMS1117-3.3";"LD117AS33TR";"SOT223";"IC5";"Low drop fixed and adjustable positive voltage regulators 1 A";"";"";"";"";"";"";
"1";"DSPIC33EP32GP502-I/SO";"DSPIC33EP32GP502-I/SO";"SO28W";"IC2";"16-Bit Microcontrollers and Digital Signal Controllers";"";"";"";"";"";"";
"1";"IRF540N";"MOSFET-NGDS_TO220V";"TO220V";"Q2";"N-Channel Mosfet";"";"";"";"";"";"";
"1";"JQC-3FF-12";"G5L";"G5LE";"K1";"RELAY";"";"";"unknown";"unknown";"";"";
"8";"LSP10";"LSP10";"LSP10";"0V, 3.3V, 5.0V, GND, IO1, IO2, IO3, IO4";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";
"2";"MAX6675";"MAX6675";"SO08";"IC1, IC4";"Cold-Junction-Compensated K-Thermocouple-to-Digital Converter";"";"";"";"";"";"";
"1";"MCP2562-E/P";"MCP2562-E/P";"DIL8";"IC3";"High-Speed CAN Transceiver";"";"";"";"";"";"";
"1";"MINI_DC_DC_CONVSMD";"MINI_DC_DC_CONVSMD";"DSN-MINI-360-SMD";"U$1";"RC Airplane Module Mini 360 DC Buck Converter Step Down Module 4.75V-23V to 1V-17V 17x11x3.8mm New LM2596;";"";"";"";"";"";"";
"13";"N/A";"R-EU_R0603";"R0603";"R15, R16, R20, R23, R24, R25, R26, R29, R30, R31, R32, R35, R36";"RESISTOR, European symbol";"";"";"";"";"";"";
"2";"PMEG4005EJ";"DIODE-SCHOTTKY-PMEG4005EJ";"SOD-323";"D2, D5";"Schottky diodes in SFE's production catalog";"";"";"";"";"DIO-10955";"PMEG4005EJ";
"4";"XY301V-A";"XY301V-A";"XY301V-A";"CN1, CN2, CN3, CN4";"3 Pin Screw Terminal Block Connector 5mm Pitch 5.08-301-3P 301-3P 3pin";"";"";"";"";"";"";
"1";"Zener 3.3V";"DIODE-ZENERMM";"MINIMELF";"Z2";"Zener Diode";"";"";"";"";"";"";
