"Qty";"Value";"Device";"Package";"Parts";"Description";"PROD_ID";"VALUE";
"2";"";"LED-FKIT-1206";"FKIT-LED-1206";"LED, PWR";"LEDs";"";"";
"1";"";"M05PTH";"1X05";"JP1";"Header 5";"";"";
"3";"100n";"C-EUC0603K";"C0603K";"C1, C6, C7";"CAPACITOR, European symbol";"";"";
"1";"100u";"CPOL-EUE2.5-7";"E2,5-7";"C4";"POLARIZED CAPACITOR, European symbol";"";"";
"1";"10k";"R-EU_R0603";"R0603";"R11";"RESISTOR, European symbol";"";"";
"1";"10u";"C-EU025-030X050";"C025-030X050";"C10";"CAPACITOR, European symbol";"";"";
"1";"120";"R-EU_R0603";"R0603";"R21";"RESISTOR, European symbol";"";"";
"5";"150";"R-EU_R0603";"R0603";"R2, R4, R5, R6, R8";"RESISTOR, European symbol";"";"";
"1";"1N4004";"1N4004";"DO41-10";"D1";"DIODE";"";"";
"1";"1k5";"R-EU_R0603";"R0603";"R3";"RESISTOR, European symbol";"";"";
"5";"1u";"C-EUC0603K";"C0603K";"C2, C3, C8, C9, C11";"CAPACITOR, European symbol";"";"";
"1";"22k";"R-EU_R0603";"R0603";"R1";"RESISTOR, European symbol";"";"";
"1";"470u";"CPOL-EUE3.5-8";"E3,5-8";"C5";"POLARIZED CAPACITOR, European symbol";"";"";
"1";"7805L";"7805L";"TO92";"IC2";"Positive VOLTAGE REGULATOR";"";"";
"1";"AMS1117";"LD117AS33TR";"SOT223";"IC5";"Low drop fixed and adjustable positive voltage regulators 1 A";"";"";
"1";"DSPIC33EP512GP502-I/SP";"DSPIC33EP512GP502-I/SP";"DIL28-3";"IC1";"16-Bit Microcontrollers and Digital Signal Controllers";"";"";
"1";"EXPANS";"M03X2FEMALE";"2X3";"JP5";"2x3 .1" header.";"CONN-11566";"FEMALE 2x3";
"1";"GPS";"M04PTH";"1X04";"JP2";"Header 4";"";"";
"1";"GY-87";"GY-87";"GY-87";"I2C_SENSORS";"GY-87 10DOF MPU6050 HMC5883L BMP180 module";"";"";
"1";"HC-SR04";"M04PTH";"1X04";"JP4";"Header 4";"";"";
"1";"MCP2562";"MCP2562-E/P";"DIL8";"IC3";"High-Speed CAN Transceiver";"";"";
"1";"MINI_DC_DC_CONV";"MINI_DC_DC_CONV";"DSN-MINI-360";"U$1";"RC Airplane Module Mini 360 DC Buck Converter Step Down Module 4.75V-23V to 1V-17V 17x11x3.8mm New LM2596;";"";"";
"1";"PITOT";"M03PTH";"1X03";"JP3";"Header 3";"";"";
"2";"XY301V-A";"XY301V-A";"XY301V-A";"CN1, CN2";"3 Pin Screw Terminal Block Connector 5mm Pitch 5.08-301-3P 301-3P 3pin";"";"";
